title,link,published,description
‘Russia’s dirty money will hijack our democratic process’: how tiny Moldova fears Kremlin is fixing EU referendum,https://www.theguardian.com/world/2024/oct/12/moldova-fears-kremlin-fixing-eu-referendum-russia,"Sat, 12 Oct 2024 14:00:27 GMT","<p>Officials believe €100m has been funnelled into the country to influence the pivotal vote and the presidential election</p><p>Last spring, customs officers in the tiny nation of Moldova struck gold. Acting on a national intelligence tip-off from, they intercepted more than 100 passengers arriving from Russia via Armenia, each carrying bundles of cash just shy of €10,000 – the threshold for mandatory declaration. In a single night authorities at Chișinău airport seized more than €900,000.</p><p>Moldovan officials swiftly announced that the cash couriers were part of a scheme allegedly led by a Kremlin-linked fugitive oligarch and aimed at financing protesters and buying votes in this month’s presidential election and pivotal EU referendum.</p> <a href=""https://www.theguardian.com/world/2024/oct/12/moldova-fears-kremlin-fixing-eu-referendum-russia"">Continue reading...</a>"
‘We all hope it’s teething troubles – but worry it’s something worse’: the inside story of Labour’s first 100 days in power,https://www.theguardian.com/politics/2024/oct/12/the-inside-story-of-labours-first-100-days-in-power-keir-starmer,"Sat, 12 Oct 2024 06:00:19 GMT","<p>Keir Starmer and other senior Downing Street figures on the new government’s bumpy start, from riots to rebellions</p><p>At this year’s Labour party conference, health secretary Wes Streeting opened his DJ set at one late-night party with the feminist anthem Independent Women by Destiny’s Child. It was a tribute to Rachel Reeves, who was standing nearby.</p><p>A few moments later, partygoers watched as the health secretary scurried over, a look of faux alarm on his face. “It’s the lyrics – I’m so sorry!” he gasped. The chancellor, a quizzical look on her face, joined him as he mouthed the offending words: “The shoes on my feet (I bought ’em). The clothes I’m wearing (I bought ’em) … ” They stifled horrified laughter.</p><p>Top: Starmer ascends the famous stairs at No 10. Above: Larry, the Downing Street cat, takes centre stage</p> <a href=""https://www.theguardian.com/politics/2024/oct/12/the-inside-story-of-labours-first-100-days-in-power-keir-starmer"">Continue reading...</a>"
Trump makes gains as poll figures trigger anxiety for Harris campaign,https://www.theguardian.com/us-news/2024/oct/12/kamala-harris-donald-trump-polls,"Sat, 12 Oct 2024 11:00:23 GMT","<p>The Guardian’s 10-day polling average tracker showed vice-president with two-point nationwide lead, down from 4%</p><p>Tightening poll figures have triggered nervousness and anxiety in Kamala Harris’s presidential campaign, with Donald Trump making gains in the states where it matters most as the election race enters its climactic final phase.</p><p>Amid a dramatic news cycle that has seen the US hit by two destructive hurricanes and rising fears of all-out war in the Middle East, the Guardian’s 10-day polling average tracker showed the vice-president and Democratic nominee with a two-point nationwide lead, 48% to 46%, over her Republican opponent as of 10 October - tellingly, down from a 4% advantage she registered two weeks ago.</p> <a href=""https://www.theguardian.com/us-news/2024/oct/12/kamala-harris-donald-trump-polls"">Continue reading...</a>"
"Al Pacino on the inside story of The Godfather: ‘I was told, you’re not cutting it’",https://www.theguardian.com/film/2024/oct/12/al-pacino-inside-story-of-the-godfather-told-not-cutting-it,"Sat, 12 Oct 2024 10:00:22 GMT","<p>When he bagged the lead role, he couldn’t believe his luck. But after just a week of filming he was on the brink of being fired. In an exclusive extract from his new book, the actor recalls the making of the film that changed his life</p><p>One day in the middle of the afternoon, I got a phone call. On the other end of the line, I heard the name and the voice of the director who would change my life: <a href=""https://www.theguardian.com/film/francis-ford-coppola"">Francis Ford Coppola</a>. First, he told me he was going to be directing The Godfather. I thought he might be fantasising. What was he talking about? How did they give him The Godfather?</p><p>I had read Mario Puzo’s novel, which had become a big hit; it was a huge deal for anyone to be involved with it. But when you’re a young actor you don’t even put your eyes on those things. Just getting any part in a film is a miracle. Opportunities like those don’t exist for you. It just seemed so outrageous. And then I thought: Hey, maybe this is possible. I had spent time with Francis in San Francisco. He was a leader, a doer and a risk taker. I saw that he carried himself with confidence, and that gave me faith in him. But this wasn’t a thing that was done at the time. Wouldn’t the studio, Paramount, go to older directors who had reputations, not this talented, young avant-garde intellectual? It didn’t fit with my perception of Hollywood.</p> <a href=""https://www.theguardian.com/film/2024/oct/12/al-pacino-inside-story-of-the-godfather-told-not-cutting-it"">Continue reading...</a>"
Seun Kuti and Egypt 80: Heavier Yet (Lays the Crownless Head) review – Fela’s legacy lives on,https://www.theguardian.com/music/2024/oct/12/seun-kuti-egypt-80-heavier-yet-lays-the-crownless-head-review,"Sat, 12 Oct 2024 15:00:29 GMT","<p>(Record Kicks)<br />Executive producer Lenny Kravitz brings gloss to Kuti’s first album in six years, which keeps his father’s Afrobeat flame burning, with a funk twist</p><p>In politics and culture alike, “heritage” has become a revered touchstone, a sacred duty, even. It must feel that way to Seun Kuti, son of the late Nigerian superstar Fela Kuti, who inherited both Fela’s legacy as Afrobeat pioneer and political firebrand, and his group, Egypt 80. Since Fela’s death in 1997, Seun has dutifully tended the Afrobeat flame (as has big brother Femi) while innovating cautiously, using different producers (including Brian Eno) and collaborating widely.</p><p>His fifth album with Egypt 80, and his first in six years, continues the process with executive producer Lenny Kravitz bringing glossy, Stateside elements to the party, while “artistic producer” Sodi Marciszewer, who worked with Fela, keeps things rootsical. Opener <a href=""https://youtu.be/C4bCEoytlFg?list=OLAK5uy_k-Uiovu3vUSmAvQuV0MjLSUJ33cGZGpKQ"">TOP</a> glides in on a relaxed guitar riff, more soul than Afrobeat, while calling out against materialism. <a href=""https://youtu.be/Rxcpce_bDKM?list=OLAK5uy_k-Uiovu3vUSmAvQuV0MjLSUJ33cGZGpKQ"">Dey</a>, a plea for togetherness, is also funk-orientated, leavened by a reggae rap from another nepo offspring, Damian Marley.</p> <a href=""https://www.theguardian.com/music/2024/oct/12/seun-kuti-egypt-80-heavier-yet-lays-the-crownless-head-review"">Continue reading...</a>"
‘It’s just crazy’: the retired Cornish builder making thousands from his whale paintings,https://www.theguardian.com/artanddesign/2024/oct/12/retired-cornish-builder-whale-paintings-steve-camp,"Sat, 12 Oct 2024 13:00:26 GMT","<p>Steve Camp had no formal training but his compositions, created in left-over emulsion, are making waves in the art world</p><p>A year ago, art gallery owner Tabby Booth was scrolling through eBay when a painting of a whale caught her eye.</p><p>“I wasn’t even browsing for work,” said Booth, who set up the Sailors Jail gallery in Falmouth, Cornwall, with her husband, James Heslip, in 2023. “It was just for my own interest. But there was something about these whale pictures that felt really special, and the artist was from Newquay.</p> <a href=""https://www.theguardian.com/artanddesign/2024/oct/12/retired-cornish-builder-whale-paintings-steve-camp"">Continue reading...</a>"
"‘My body is broken, but I’m not going to give up’: Hanif Kureishi on life after the accident that paralysed him",https://www.theguardian.com/books/2024/oct/12/my-body-is-broken-but-im-not-going-to-give-up-hanif-kureishi-on-life-after-the-accident-that-paralysed-him,"Sat, 12 Oct 2024 06:00:17 GMT","<p>He was known for taboo-busting, transgressive stories about identity, sexuality and belonging. Then the author and screenwriter broke his neck. But he’s still every bit as provocative …</p><p>• <a href=""https://www.theguardian.com/books/2024/oct/12/hanif-kureishi-on-his-accident-i-believed-i-was-dying-that-i-had-three-breaths-left-it-seemed-like-a-miserable-and-ignoble-way-to-go"">‘A bomb went off in my life’: read an exclusive extract from his new memoir here</a></p><p>“I wasn’t even pissed,” Hanif Kureishi says, as if somehow that would have made it better. The writer is talking about the accident that left him a tetraplegic. Or, as he likes to call himself with classic Kureishian brutality, a vegetable. Though he’s not. His body may be broken, but his brain isn’t.</p><p>It was Boxing Day 2022 and he was in Italy. Back then the writer spent half his idyllic life in Rome, half in London. His three sons were adult and independent, he had enough money to enjoy a good life, he was in love with his wife, Isabella d’Amico, and, at the age of 68, the enfant terrible of English literature was content in a way he’d never been. He was having a beer, watching the football on his iPad, when he had a dizzy spell. He stood up, took a few steps forwards and fainted. He later discovered he had fallen on his head and broken his neck. Kureishi was left paralysed.</p> <a href=""https://www.theguardian.com/books/2024/oct/12/my-body-is-broken-but-im-not-going-to-give-up-hanif-kureishi-on-life-after-the-accident-that-paralysed-him"">Continue reading...</a>"
"Trevor Noah: ‘I’ve met a few people where I’ve thought – yeah, you’re probably an alien’",https://www.theguardian.com/culture/2024/oct/12/trevor-noah-uncut-grass-interview,"Sat, 12 Oct 2024 10:55:22 GMT","<p>On the publication of his first children’s book, the comedian and presenter answers pithy questions from Louis Theroux, Susie Dent and more on Trump, his mother and what makes a great rollercoaster</p><p>In 2015, the South African comedian Trevor Noah was plucked from relative obscurity to succeed Jon Stewart as the host of The Daily Show. On its face this seemed an unenviable task; Stewart had hosted for 16 years and it seemed unclear what the show would even be independent of his liberal bona fides and New York sensibility. But Noah’s wit and insight quickly made him a darling of the US left and by bringing an outsider’s perspective – both as a Black man and a recent immigrant – to late-night TV, Noah successfully pushed the show into the social media age.</p><p>Since departing in 2022, Noah has kept busy, launching a podcast, hosting the Grammys, and winning the prestigious Erasmus prize in 2023. He’s now publishing his first children’s book, Into the Uncut Grass. A spiritual successor to his bestselling memoir, Born a Crime, it’s a coming-of-age story written in the shadow of the last days of apartheid. He sat down for a grilling about his inspiration, influences and creative process from a gaggle of fellow authors.</p> <a href=""https://www.theguardian.com/culture/2024/oct/12/trevor-noah-uncut-grass-interview"">Continue reading...</a>"
"Oceanographer Dawn Wright: ‘When we reached the bottom, we saw a beer bottle’",https://www.theguardian.com/science/2024/oct/12/oceanographer-dawn-wright-when-we-reached-the-bottom-we-saw-a-beer-bottle,"Sat, 12 Oct 2024 15:00:28 GMT","<p>The US scientist on being the first Black woman to descend to Earth’s deepest point, ignoring career advice – and what really happened to the Titan submersible</p><p>The American oceanographer Dawn Wright is the first Black person and only the 27th human to have been to the deepest spot on the planet. Challenger Deep, at the southern end of the Mariana Trench in the western Pacific Ocean, is 10.9km (6.8 miles) below sea level – deeper than Mount Everest (8.8km [5.5 miles]) is tall. Wright’s summer 2022 descent is documented in a new book, <em>Mapping the Deep</em>, written with her input. The dive was undertaken in a two-person submersible called Limiting Factor owned (since sold) by <a href=""https://caladanoceanic.com/"">Caladan Oceanic</a>, an ocean expedition company founded by investor turned deep sea explorer <a href=""https://www.theguardian.com/science/2018/dec/22/wall-street-trader-reaches-bottom-of-atlantic-in-bid-to-conquer-five-oceans"">Victor Vescovo</a>, who was also the craft’s pilot. Wright, 63, who also goes by the moniker “Deepsea Dawn”, is the chief scientist of Esri, a multinational that makes geographic information system (GIS) software for mapping and spatial analytics.</p><p><strong>Sending people to the deep ocean can be dangerous because of the extreme underwater pressure. </strong><strong>Last year</strong><strong>, </strong><strong>OceanGate</strong><strong>’s </strong><strong><a href=""https://www.theguardian.com/world/2023/jun/22/titanic-sub-titan-debris-field-search-area-latest"">Titan submersible imploded</a></strong><strong> on a journey to view the wreck of the </strong><strong>Titanic</strong><strong>, killing all </strong><strong>five</strong><strong> passengers on board</strong><strong>. Why not just leave it to robots? <br /></strong>Most of the exploration in the ocean is done by robots – it’s just more efficient, especially for mapping. But occasionally, it is important for a human to go down. It can be <em>the</em> way to get the best understanding of how a particular part of the Earth is working or solve a scientific mystery. In the case of Challenger Deep it is an iconic place and we had a scientific mission.</p> <a href=""https://www.theguardian.com/science/2024/oct/12/oceanographer-dawn-wright-when-we-reached-the-bottom-we-saw-a-beer-bottle"">Continue reading...</a>"
From frat-bro media to Kamala Harris: how the sex podcast Call Her Daddy reached the stratosphere,https://www.theguardian.com/us-news/2024/oct/12/call-her-daddy-kamala-harris-alex-cooper,"Sat, 12 Oct 2024 12:00:25 GMT","<p>Alex Cooper’s show features no-holds-barred conversations about women, intimacy and mental health. The vice-president’s visit offered a chance to connect with the TikTok generation</p><p>According to Spotify, Alex Cooper’s podcast Call Her Daddy is the second-most-listened-to podcast <a href=""https://newsroom.spotify.com/2023-11-29/top-songs-artists-podcasts-albums-trends-2023/"">in the world</a>, behind only The Joe Rogan Experience and with a <em>very </em>different audience. While the audience for Rogan’s health advice and anti-woke politics skews heavily male, Cooper’s podcast of girls’ room secrets, dating stories and therapy-like disclosures is listened to by young, sex-positive women. Cooper, who turned 30 this year,<strong> </strong>invites guests such as Katy Perry, Heidi Klum and Miley Cyrus to dress down (most appear on the podcast clad in sweatsuits and baseball caps) and share intimate details of their sexual and psychological lives<strong>.</strong></p><p>Cooper’s honesty is wildly popular and profitable; in 2021, she inked a $60m deal with Spotify, one of the biggest ever for a podcast at the time. In August, she signed a new deal <a href=""https://www.cnn.com/2024/08/20/business/alex-cooper-call-her-daddy-spotify-podcast/index.html"">worth more than double</a> that, leaving Spotify for a $125m three-year offer from the US radio company SiriusXM.</p> <a href=""https://www.theguardian.com/us-news/2024/oct/12/call-her-daddy-kamala-harris-alex-cooper"">Continue reading...</a>"
Helen Lederer looks back: ‘I met a man at my book launch and knew I’d marry him. And divorce him’,https://www.theguardian.com/lifeandstyle/2024/oct/12/helen-lederer-looks-back-i-met-a-man-at-my-book-launch-and-knew-id-marry-him-and-divorce-him,"Sat, 12 Oct 2024 11:00:23 GMT","<p>The comedian on Liquorice Allsorts, being in Absolutely Fabulous, and single motherhood in the 90s</p><p>Born in Wales in 1954, Helen Lederer is a standup comic, actor and author. Raised in&nbsp;south-east London, she broke into the alternative comedy scene in the 1980s as a regular at the Comedy Store. Lederer went on to appear in Britain’s seminal sitcoms – The Young Ones, Bottom, One Foot in the Grave, French and Saunders and Absolutely Fabulous. She has written the books Coping with Helen Lederer, Single Minding, and the novels Finger Food and <a href=""https://guardianbookshop.com/losing-it-9781447267645/"">Losing It</a>. She has a daughter, Hannah, with her first husband, the former editor of the Observer Roger Alton. Her memoir, <a href=""https://guardianbookshop.com/not-that-im-bitter-9781915306654/"">Not That I’m Bitter</a>, is out now.</p><p><strong>This was</strong><strong> for the cover of Coping with Helen Lederer</strong>, a&nbsp;self-help parody written before people were doing self-help parodies. Inspired by <a href=""https://biblio.co.uk/book/easy-entertaining-jane-asher/d/900717804?aid=frg&amp;gad_source=1&amp;gclid=CjwKCAjwl6-3BhBWEiwApN6_klKxx4aXvEKbgXdwAQSW2gWCjCOXTApO_Yy4cK2thc4H_uFXuAreCxoCvBYQAvD_BwE"">Easy&nbsp;Entertaining</a>, a book from the 1980s by Jane Asher, the image was my&nbsp;attempt to be the perfect hostess. I’m holding a tray of canapes including Weetabix, some kind of red jus, and Liquorice Allsorts on a skewer. There was one version of the photo, taken in a draughtier moment, in which a nipple was very much visible through the shirt.</p> <a href=""https://www.theguardian.com/lifeandstyle/2024/oct/12/helen-lederer-looks-back-i-met-a-man-at-my-book-launch-and-knew-id-marry-him-and-divorce-him"">Continue reading...</a>"
New Zealand win first two races against Great Britain in America’s Cup – live,https://www.theguardian.com/sport/live/2024/oct/12/great-britain-v-new-zealand-americas-cup-2024-live-sailing-ineos-britannia-emirates-team-nz,"Sat, 12 Oct 2024 15:17:55 GMT","<ul><li>Ineos Britannia take on Emirates Team New Zealand</li><li><a href=""https://www.theguardian.com/sport/2024/oct/12/americas-cup-2024-everything-you-wanted-to-know-but-were-afraid-to-ask"">America’s Cup explainer</a> | And feel free to <a href=""mailto:dominic.booth.casual@theguardian.com"">mail Dominic</a></li></ul><p>The wind is currently a little too light to start racing. Alas, that’s the nature of sailing. Let’s hope it picks up sufficiently.</p><p><strong>“Starts are always key in match racing,”</strong> Sir Ben tells Georgie Thompson on TNT Sports.</p> <a href=""https://www.theguardian.com/sport/live/2024/oct/12/great-britain-v-new-zealand-americas-cup-2024-live-sailing-ineos-britannia-emirates-team-nz"">Continue reading...</a>"
Croatia v Scotland: Nations League – live,https://www.theguardian.com/football/live/2024/oct/12/croatia-v-scotland-nations-league-live-score-updates,"Sat, 12 Oct 2024 15:23:27 GMT","<ul><li>Nations League updates, 5pm BST kick-off in Zagreb</li><li><a href=""https://www.theguardian.com/football/live"">Live scoreboard</a> | And feel free to drop <a href=""mailto:scott.murray.casual@theguardian.com"">Scott an email</a></li></ul><p><strong>Croatia make three changes to the side that won 1-0 against Poland last time round.</strong> Mario Pašalić, Ivan Perišić and Andrej Kramarić – the latter two World Cup finalists – replace Marko Pjaca and Bruno Petković, who drop to the bench, and Mateo Kovačić, absent with baby on the way. Luka Modrić, the third member of that famous 2018 side starting today, will win his 181st cap.</p><p><strong>Here’s the story of Scotland’s Nations League campaign so far.</strong> It’s been A1 in name, if nothing else. Injury-time misery …</p> <a href=""https://www.theguardian.com/football/live/2024/oct/12/croatia-v-scotland-nations-league-live-score-updates"">Continue reading...</a>"
Carsley is not the problem – something feels rotten at the core of this England | Jonathan Liew,https://www.theguardian.com/football/blog/2024/oct/12/england-lee-carsley-not-problem-something-feels-rotten-at-core-nations-league,"Sat, 12 Oct 2024 11:18:33 GMT","<p>This squad cries out for a coach who could imbue a sense of purpose that goes beyond simply wanting to win something</p><p>There is perhaps a certain bitter comic timing in the fact that England’s next opponent is the country serially ranked as the happiest on earth. Prosperous, equal, well-educated, socially supported and with few delusions of global grandeur, Finland offers our own disgruntled and perennially troubled nation an abundance of useful life lessons, most of which you can guarantee will go unheeded.</p><p>And so to Helsinki, where Lee Carsley apparently has only three games left to save the job that was apparently his after two games, slipping away after three games, and which he <a href=""https://www.theguardian.com/football/2024/oct/10/lee-carsley-hopeful-of-return-to-england-under-21s-after-defeat"">does not actually appear to want</a> anyway. Perhaps it was inevitable, given our evident lack of enthusiasm for the Nations League format in general, that English football would use this autumn lacuna as an opportunity to turn entirely in upon itself, to give full rein to its rolling psychodrama, an extended Lee In/Lee Out referendum campaign.</p> <a href=""https://www.theguardian.com/football/blog/2024/oct/12/england-lee-carsley-not-problem-something-feels-rotten-at-core-nations-league"">Continue reading...</a>"
Chelsea hold on for victory at Arsenal to cast more doubt on Eidevall’s future,https://www.theguardian.com/football/2024/oct/12/arsenal-chelsea-womens-super-league-match-report,"Sat, 12 Oct 2024 15:22:09 GMT","<p></p><p>If the mood among fans is anything to go by, Jonas Eidevall’s future at Arsenal is hanging by a thread, after two goals in 12 minutes did the damage in a loss to Chelsea that gave the Gunners a mountain to climb in a crunch game at the Emirates.</p><p>Four games into the season, Arsenal already sit four points behind the champions, who have a game in hand, having picked up just five points. Meanwhile, they suffered a bruising <a href=""https://www.theguardian.com/football/2024/oct/09/bayern-munich-arsenal-womens-champions-league-match-report"">5-2 loss to Bayern Munich</a> in the Champions League in midweek, off the back of a poor 0-0 draw with Everton. For a team wanting to challenge for titles, that is being viewed as just not good enough.</p> <a href=""https://www.theguardian.com/football/2024/oct/12/arsenal-chelsea-womens-super-league-match-report"">Continue reading...</a>"
